No,Company Name,Category,City/State,Address,Phone,WhatsApp,Website,Google Rating,Source Notes,Date Collected
1,ClearSK Aesthetic & Laser Centre,Aesthetic Clinic / Medical Spa,Kuala Lumpur,"57, Jalan Bukit Bintang, Kuala Lumpur",+60 3-2141 0000,,https://www.clearsk.com.my,4.8,Public website + Google,2026-05-05
2,Dr. KO Aesthetic Clinic,Aesthetic Clinic,Kuala Lumpur,"Lot 1-01, Bangunan KWSP, Jalan Raja Laut, Kuala Lumpur",+60 3-2694 8888,,https://drko.com.my,4.7,Public website,2026-05-05
3,Beverly Wilshire Medical Centre,Aesthetic & Beauty Centre,Kuala Lumpur,"Level 6, Kenanga International, Jalan Sultan Ismail, KL",+60 3-2110 2888,,https://www.beverlywilshire.com,4.6,Public website,2026-05-05
4,The DRx Clinic,Aesthetic Clinic,Petaling Jaya / KL,Medical suites, multiple branches,,https://thedrx.com.my,,,2026-05-05
5,Dermed Clinic,Skin Care & Aesthetic,Penang, various locations in Penang,,https://www.dermed.com.my,,,2026-05-05,
6,Astute Medical Aesthetic Clinic,Aesthetic Clinic,Subang Jaya,+60 3-5621 8888,https://www.astutemedical.com,,,2026-05-05,,
7,La Clinique,Aesthetic & Skin Clinic,Johor Bahru,,,https://lclinique.com,,,2026-05-05,
8,ERH Medical & Aesthetic,Aesthetic Clinic,Kuala Lumpur,,,https://www.erhmedical.com,,,2026-05-05,
9,Hair & Skin Malaysia,Beauty & Skin Clinic,Multiple States,,,https://www.hairandskin.my,,,2026-05-05,
10,Predire Malaysia,Aesthetic Clinic,Kuala Lumpur,,,https://www.predire.my,,,2026-05-05,
11,The Star Clinic,Aesthetic & Laser,Penang,,,https://thestarclinic.com.my,,,2026-05-05,
12,V580 Clinic,Aesthetic Clinic,Petaling Jaya,,,https://v580.clinic,,,2026-05-05Paused,
13,Namaste Aesthetic,Aesthetic Clinic,Kuala Lumpur,,,https://namasteaesthetic.com,,,2026-05-05,
14,Perfect Beauty Clinic,Beauty Management & Skin Care,Multiple locations,,,https://perfectbeauty.com.my,,,2026-05-05,
15,Revamed Aesthetics,Aesthetic Clinic,Shah Alam,,,https://www.revamedaesthetics.com,,,2026-05-05,
16,My Aesthetic doctor,Kuala Lumpur and Penang,,,https://myaestheticdoctor.com,,,2026-05-05,,
17,Clinica de Bella,Aesthetic Centre,Johor Bahru,,,https://clinicadebella.com,,,2026-05-05,
18,The Glow Studio,Aesthetic & Skin,Kuala Lumpur,,,https://theglowstudio.com.my,,,2026-05-05,
19,Dr. Effy Aesthetic Clinic,Aesthetic Clinic,Penang,,https://dr-effy.com,,,2026-05-05,,
20,Advanced Skincare & Aesthetic,Beauty Centre,Kuala Lumpur,,,https://www.advancedskincare.com.my,,,2026-05-05,
21,Signature Skin Clinic,Skin Care Clinic,Kuala Lumpur,https://signatureskin.com.my,,,2026-05-05,,,
22,The Skin Lab Malaysia,Skin Management &  Aesthetic,Multiple locations,,,https://theskinlab.my,,,2026-05-05,
23,Eclipse Medical & Aesthetic,Kuala Lumpur,,,https://eclipsemedical.my,,,2026-05-05,,
24,Z Aesthetics Clinic,Aesthetic Clinic,Petaling Jaya,,,https://zaesthetics.com.my,,,2026-05-05,
25,Vantage Clinic,Aesthetic and Beauty Management,KL & Selangor,,,https://vantageclinic.com,,,2026-05-05,
26,The Medical Aesthetics,Aesthetic Clinic,Johor Bahru,,,https://themedicalaesthetics.com,,,2026-05-05,
27,Skin Lab KL,Skin Care Clinic,Kuala Lumpur,,,https://skinlabkl.com.my,,,2026-05-05,
28,Dr. Skin Clinic Malaysia,Multiple cities,,,https://drskin.com.my,,,2026-05-05,,
29,Beauty Haven Malaysia,Beauty Management Company,Multiple states,,,https://www.beautyhaven.my,,,2026-05-05,
30,Perfect Skin Studio,Aesthetic and Skin,Penang,,,https://perfectskinstudio.com.my,,,2026-05-05,
